market_rank,title,developer,price_usd,market_id,market_url,stars
101,OpenSudoku,Roman MaÅ¡ek,$0.00,cz.romario.opensudoku,https://market.android.com/details?id=cz.romario.opensudoku,4.6
102,Snake,SPElements,$0.00,sp.app.snake,https://market.android.com/details?id=sp.app.snake,3.4
103,Slots Royale,MyWavia Studios Pvt. Ltd.,$0.00,com.mw.slotsroyale,https://market.android.com/details?id=com.mw.slotsroyale,4.3
104,Can Knockdown,Infinite Dreams,$0.00,pl.idreams.CanKnockdown,https://market.android.com/details?id=pl.idreams.CanKnockdown,4.1
105,Klondike Solitaire,Softick Ltd.,$0.00,com.softick.android.solitaire.klondike,https://market.android.com/details?id=com.softick.android.solitaire.klondike,4.3
106,National Flags Quiz,FractalGate,$0.00,net.fractalgate.android.nationalflags,https://market.android.com/details?id=net.fractalgate.android.nationalflags,4.3
107,250+ Solitaire Collection,Alexei Anoshenko,$0.00,com.anoshenko.android.solitaires,https://market.android.com/details?id=com.anoshenko.android.solitaires,4.5
108,Fruit Slice,DroidHen,$0.00,com.droidhen.fruit,https://market.android.com/details?id=com.droidhen.fruit,4.3
109,ROM Gripper,xb1101101,$0.00,com.bingo.rom_gripper,https://market.android.com/details?id=com.bingo.rom_gripper,4.6
110,Space Buster 3D,Sylvain NowÃ©,$0.00,com.storybird.spacebusterlite,https://market.android.com/details?id=com.storybird.spacebusterlite,3.8
111,IQ Tester,DPS,$0.00,com.dps.iqTester,https://market.android.com/details?id=com.dps.iqTester,3.5
112,PapiRiver,Sunflat,$0.00,net.sunflat.android.papiriver,https://market.android.com/details?id=net.sunflat.android.papiriver,4.0
113,Slide Puzzle,SporkSoft,$0.00,com.sporksoft.slidepuzzle,https://market.android.com/details?id=com.sporksoft.slidepuzzle,4.0
114,Baseball SuperstarsÂ® Free,GAMEVIL Inc.,$0.00,com.gamevil.bs09lite,https://market.android.com/details?id=com.gamevil.bs09lite,4.1
115,Find It : Cartoon #1,FunkyMelon,$0.00,funkymelon.com.finditdisney,https://market.android.com/details?id=funkymelon.com.finditdisney,4.4
116,Andoku Sudoku,Markus Wiederkehr,$0.00,com.googlecode.andoku,https://market.android.com/details?id=com.googlecode.andoku,4.7
117,Pacific Wings,Sprakelsoft,$0.00,com.sprakelsoft.pacificwings,https://market.android.com/details?id=com.sprakelsoft.pacificwings,3.9
118,Bubble Shooter,SPElements,$0.00,sp.app.bubble,https://market.android.com/details?id=sp.app.bubble,4.3
119,City Jump,DroidHen,$0.00,com.droidhen.game.superman,https://market.android.com/details?id=com.droidhen.game.superman,4.4
120,Wheelz - Free Edition,Chozabu,$0.00,com.chozabu.android.LightBikeGame,https://market.android.com/details?id=com.chozabu.android.LightBikeGame,4.1
121,Angry Birds Lite Beta,Rovio Mobile Ltd.,$0.00,com.rovio.angrybirds_lite,https://market.android.com/details?id=com.rovio.angrybirds_lite,4.3
122,Reversi,Bluesky Studio,$0.00,cn.bluesky.neatreversi,https://market.android.com/details?id=cn.bluesky.neatreversi,3.9
