market_rank,title,developer,price_usd,market_id,market_url,stars,updated,app_version,android_version,category,installs,size
48,National Flags Quiz,FractalGate,$0.00,net.fractalgate.android.nationalflags,https://market.android.com/details?id=net.fractalgate.android.nationalflags,4.3,"February 5, 2011",1.2.5,1.6 and up,Brain & Puzzle,"500,000 - 1,000,000",805k
49,Ninja Rush Deluxe,Feelingtouch Inc.,$0.00,com.feelingtouch.NinjaRunDeluxe,https://market.android.com/details?id=com.feelingtouch.NinjaRunDeluxe,4.4,"March 18, 2011",1.02,2.0 and up,Racing,"100,000 - 500,000",3.5M
50,Labyrinth Lite,Illusion Labs,$0.00,se.illusionlabs.labyrinth.lite,https://market.android.com/details?id=se.illusionlabs.labyrinth.lite,4.3,"March 3, 2011",1.4.4,1.6 and up,Arcade & Action,"5,000,000 - 10,000,000",687k
51,Traffic Jam Free,JiuzhangTech Ltd,$0.00,com.jiuzhangtech.rushhour,https://market.android.com/details?id=com.jiuzhangtech.rushhour,4.3,"December 15, 2010",1.5.8,1.5 and up,Brain & Puzzle,"1,000,000 - 5,000,000",1.8M
52,Basketball Shot,DroidHen,$0.00,com.droidhen.basketball,https://market.android.com/details?id=com.droidhen.basketball,4.1,"March 3, 2011",1.4.2,1.5 and up,Sports Games,"5,000,000 - 10,000,000",1.5M
53,Farm Tower,Nicolas Gramlich,$0.00,org.anddev.farmtower.eco,https://market.android.com/details?id=org.anddev.farmtower.eco,4.5,"March 18, 2011",1.3.0,1.6 and up,Brain & Puzzle,"500,000 - 1,000,000",2.7M
54,City Jump,DroidHen,$0.00,com.droidhen.game.superman,https://market.android.com/details?id=com.droidhen.game.superman,4.4,"February 11, 2011",1.1.6,1.5 and up,Arcade & Action,"1,000,000 - 5,000,000",3.8M
55,Memory Trainer,Urbian,$0.00,org.urbian.android.games.memorytrainer,https://market.android.com/details?id=org.urbian.android.games.memorytrainer,4.2,"February 22, 2011",2.1,1.5 and up,Brain & Puzzle,"1,000,000 - 5,000,000",3.1M
56,Wheel to Riches Lite,Altriak,$0.00,com.games.WheeltoRiches,https://market.android.com/details?id=com.games.WheeltoRiches,4.2,"March 5, 2011",1.1.2,1.6 and up,Brain & Puzzle,"500,000 - 1,000,000",2.9M
57,Dropwords,Ben Garrett,$0.00,com.eekgames.worddrop,https://market.android.com/details?id=com.eekgames.worddrop,4.3,"March 10, 2011",3.6,1.6 and up,Brain & Puzzle,"1,000,000 - 5,000,000",3.0M
58,Ninja Kaka,The Ninja Studio,$0.00,com.ninja.studio.game.fruit.ninja.kaka,https://market.android.com/details?id=com.ninja.studio.game.fruit.ninja.kaka,4.0,"March 12, 2011",1.0.0,1.6 and up,Arcade & Action,"100,000 - 500,000",4.5M
59,Klondike Solitaire,Softick Ltd.,$0.00,com.softick.android.solitaire.klondike,https://market.android.com/details?id=com.softick.android.solitaire.klondike,4.3,"December 10, 2010",2.32,1.5 and up,Cards & Casino,"1,000,000 - 5,000,000",2.6M
60,2 Player Reactor,cool cherry trees,$0.00,coolcherrytrees.games.reactor,https://market.android.com/details?id=coolcherrytrees.games.reactor,4.6,"March 25, 2011",1.5.2,1.5 and up,Arcade & Action,"1,000,000 - 5,000,000",1.1M
61,Air Hockey Speed,Hyperkani,$0.00,com.hyperkani.airhockey,https://market.android.com/details?id=com.hyperkani.airhockey,4.0,"March 27, 2011",1.07,1.6 and up,Sports Games,"100,000 - 500,000",1.4M
62,Classic Simon,Mobikats ltd,$0.00,com.neilneil.android.games.simonclassic,https://market.android.com/details?id=com.neilneil.android.games.simonclassic,4.4,"February 6, 2011",1.17,1.5 and up,Brain & Puzzle,"1,000,000 - 5,000,000",487k
63,Bubble Shooter,SPElements,$0.00,sp.app.bubble,https://market.android.com/details?id=sp.app.bubble,4.2,"March 21, 2011",1.1.9,1.5 and up,Casual,"100,000 - 500,000",499k
64,ActionPotato,Sunflat,$0.00,net.sunflat.android.actionpotato,https://market.android.com/details?id=net.sunflat.android.actionpotato,4.2,"August 28, 2010",1.1.1,1.5 and up,Arcade & Action,"1,000,000 - 5,000,000",344k
